review,sentiment
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",0
"Lowe returns to the nest after, yet another, failed relationship, to find he's been assigned to jury duty. It's in the plans to, somehow, get out of it, when he realizes the defendant is the girl he's had a serious crush on since the first grade.<br /><br />Through living in the past by telling other people about his feelings towards this girl (played by Camp), Lowe remembers those feelings and does everything in his power to clear Camp of attempted murder, while staying away from the real bad guys at the same time, and succeeding in creating a successful film at the same time.<br /><br />I've heard that St Augustine is the oldest city in the US, and I also know it has some ties to Ponce de Leon, so the backdrop is a good place to start. Unfortunately, it's the only thing good about this movie. The local police are inept, the judge is an idiot, and the defense counsel does everything in her power to make herself look like Joanie Cunningham! I don't know whether to blame the director for poor direction, or for just letting the cast put in such a hapless effort.<br /><br />In short, this movie was so boring, I could not even sleep through it! 1 out of 10 stars!",0
"I had been avoiding this movie for sometime...because I viewed it as an unneccesary installment to a series that should have only had 2 parts. But, after reading some fairly favorable reviews...from some IMDB watchers...I spent $1.50 and rented it at my local video store. Need I go further...when I say....this was a buck-50 lost. This movie is one of the 10 worst movies I have ever seen. First off....I realize that noone wanted to see a 33 year old Macchio in this film.....But, why could'nt they have had Miyagi read a letter or something from Daniel-san...maybe explaining what happened to Daniel...hell, they could have at least made a quick mention of daniel or something. But, no...and to compund the already bad script....they added those stupid monks...I thought monks take a vow of silence...guess these yapping monks don't take their vows seriously...hehehe. The training the girl went through in the movie was hurried and stupid...and the paramilitary group of young males....were a confusing concept to say the least....this was far from even being a martial arts movie...with the girl only fighting briefly in the final scene....and then she didn't even come close to getting hit even once...by the male fighting her....give me a break...she would have gotten hit at least once....I guess the writers and directors thought it would be to shocking to see a girl get punched by a male in this one. I could go on and on...but, basically...I'll end by saying that this movie was just so bad....even the girl they chose wasn't nice to even look at(she was sorta ""butch"" looking)....I can only think of a handful of movies that I have sit through...that compare to just how bad this flick was.....DON""T WASTE YOUR TIME ON THIS ONE..........",0
"I would have given this LESS than a 1 rating if it were possible. The entire film should have been left on the cutting-room floor. What a pathetic waste of time, money and effort! Let's see...assemble the prettiest cast you can find (which of course is in direct proportion to the amount of talent they lack)...throw together the thinnest plot you can dig up...and viola! An abominable piece of trash that the director and/or producer should be ashamed to put their name on. How much WORSE can the horror genre get? And don't use ""low budget"" as an excuse...I have seen many GREAT low-budget films....in fact some of the best horror classics of all time were low-budget. If you don't have the talent and ingenuity to make a GOOD horror film, then for God's sake don't make one at all!!!",0
"It's so fake! The plot seems like a generic adaptation of the average blaxploitation film. The common themes of blaxploitation like racism, oppression and fighting for the integrity of your community are outlined so simplistically/shallowly. And the jokes aren't even funny! Dolemite does these stand up monologue comedy routines that are really painful. All the people around him deliver this canned laughter. Even the soundtrack sounds like it's fakin' the funk. For far better comedy in a blaxploitation try ""Coffy"" & ""Friday Foster"" with Pam Grier. For a more realistic blax experience try ""Black Heat"".",0
"K Murli Mohan Rao made the much better BANDHAN in 1998 This film is an awful remake of THE WEDDING SINGER<br /><br />Basically in short, the film consists of: Salman Khan who in those days used to have the role of a dejected lover who looses his girl and also he had his comic scenes where he hammed badly even today he does well he does it all here too and also looses his shirt in scenes<br /><br />Jackie Shroff- wasted, bored and tired, his role is so stupid He is shown as a lover of Pooja Bhatra then in 1 scene he is shown as a womanizer?<br /><br />Inder Kumar- confusing characterization again<br /><br />Rani Mukherjee- boring, overweight and does nothing special Pooja Bhatra- tall, fair and actress worthy but lacks talent<br /><br />Kashmira Shah- says a dial as if a poetry<br /><br />Mohinish Behl- poor fellow the 2 kids were awful too<br /><br />The story is the same and has awful comic scenes, a sudden love story and boring drunken scenes plus a forced comic track of Shakti Kapoor<br /><br />Direction is poor Music is decent<br /><br />Salman khan just goes through the motions, Jackie is bad, Rani is as usual, Pooja is bad, Mohinish and Kashmira are nothing great Inder is awful",0
"An obvious vanity press for Julie in her first movie with Blake. Let's see. Where do we begin. She is a traitor during a world war; she redeems that by falling in love; her friends (who are presumably patriots because they are German citizens) are expendable and must die; and she winds up as a heroine. OK. The scenes with the drunken pilot and the buffoons who work for French intelligence can't even be described, and we won't even mention Rock's romantic scenes with a female. (By the way, when they visit a museum, look at his gaze - I reran it on video and it's priceless). Is it a farce or is it a romantic classic or is it a war movie? I don't know and you won't either.",0
"I enjoy B movies. I think Bruce Campbell is a very watchable actor. I love how he delivers his lines. 'Evil Dead 2 and 'Army of Darkness' were great movies. I liked 'Running Time'. However, I don't know if I'll ever watch this movie again...and I bought it. Now, after saying that, I bet the commentary tracks and special features will be worth watching! This movie just has far too many holes for me to actually enjoy, even as a cheapo movie. First off, Ted Raimi was annoying, just flat out annoying. There was nothing to his badly acted / written character that hasn't been done better a thousand times before. The directing sadly was sub par and the choice of some shots...yikes. I don't expect Woody Allen or James Cameron here, but Campbell did not deliver.<br /><br />I did not purchase this thinking it was going to be an Oscar movie like 'Annie Hall', but still I'm disappointed. I would have been happy with 'Mallrats' or 'The Rhino Brothers'. I got much less. By the end of the movie there were no scenes that popped out to me, no dialogue that resonated within me. Even 'Hostel' had a classic line for petes sake! I do not recommend this movie.",0
"Just watched on UbuWeb this early experimental short film directed by William Vance and Orson Welles. Yes, you read that right, Orson Welles! Years before he gained fame for radio's ""The War of the Worlds"" and his feature debut Citizen Kane, Welles was a 19-year-old just finding his muse. Besides Vance and Welles, another player here was one Virginia Nicholson, who would become Orson's first wife. She plays a woman who keeps sitting on something that rocks back and forth courtesy of an African-American servant (Paul Edgerton in blackface). During this time a man (Welles) keeps passing her by (courtesy of the scene constantly repeating). I won't reveal any more except to say how interesting the silent images were as they jump-cut constantly. That's not to say this was any good but it was fascinating to watch even with the guitar score (by Larry Morotta) added in the 2005 print I watched. Worth a look for Welles enthusiasts and anyone with a taste of the avant-garde.",0
"I thought maybe... maybe this could be good. An early appearance by the Re-Animator (Jeffery Combs); many homage's to old horror movies; the Troma label on the front this movie could be a gem! I thought wrong.<br /><br />Frightmare is a boring, overplayed, half assed homage to the fright films of yore. The story is an old one, young people breaking into a house, getting drunk, making love, and tampering with things that shouldn't be tampered with. The oft  recycled slasher film formula is used here, this time with a thought to be dead actor named Conrad Radzoff doing the killing. In fact, the performance by the Radzoff's actor Ferdy Mayne is the only redeeming quality of this film. He does the snooty Dracula style character very well. But as for the kids, its not so good, with Combs only having a minimal part.<br /><br />The film lacks entertainment value, and only features one cool character, and one or two scenes that can hold your attention. I do not recommend this film unless you are desperate for something to watch, and this is the only movie left at blockbuster.",0
"I saw the Mogul Video VHS of this. That's another one of those old 1980s distributors whose catalog I wish I had!<br /><br />This movie was pretty poor. Though retitled ""Don't Look in the Attic,"" the main admonition that is repeated in this is ""Don't go to the villa."" Just getting on the grounds of the villa is a bad idea. A character doesn't go into the attic until an hour into the movie, and actually should have done it earlier because of what is learned there.<br /><br />The movie starts in Turin, Italy in the 1950s. Two men are fighting, and a woman is telling them the villa is making them do it. One man kills the other, then regrets it, and the woman pulls out the knife and stabs him with it. She flees the villa, and after she's left a chair moves by itself (what's the point of that?), but when in the garden a hand comes up through the ground and drags he into the earth.<br /><br />From there, it's the present day, thirty years later. There's a séance that appears suddenly and doesn't appear to have anything to do with the movie. The children of the woman from the prologue are inheriting the house. The main daughter is played by the same actress who played her mother. At least one of the two men from the prologue seems to reoccur as another character too. She's haunted by some warnings not to go to the villa, but they all do, since if they do not use it, they forfeit it. People die. A lawyer who has won all his cases tries to investigate a little. The ending is pretty poor. Why was the family cursed? An unfortunately boring movie.<br /><br />There's an amusing small-print disclaimer on the back of the video box that reads ""The scenes depicted on this packaging may be an artist's impression and may not necessarily represent actual scenes from the film."" In this case, the cover of the box is an illustration that does more or less accurately depict the aforementioned woman dragged underground scene, although there are two hands, and the woman is different. It's true, sometimes the cover art has nothing to do with the movie. I also recall seeing a reviewer who had a bad movie predictor scale, in which movies with illustrations on the cover instead of photos got at least one point for that.",0
"Is it a poorly acted, cliche-ridden pile of trash? Of course. Anyone who doesn't realize that when they pick up the box in the video store probably doesn't have any right judging movies in the first place. Thus, I will now rate the aspects of the film that we actually care about on a scale of 1 to 10:<br /><br />Violence and gore: 4 -- For this genre, there are very few deaths, and the gore is almost non-existent. Anyone looking for a little blood should probably look elsewhere. The only redeeming quality is the fact that kids are doing these awful things, which raises the bar a little.<br /><br />Suspense: 1 -- Okay, I feel bad for anyone who gets scared by this trio of dorky looking kids.<br /><br />Nudity/sex: 7 -- Lots of boobage from three different women, one of whom is the MTV vj Julie Brown. There are two sex scenes, but little is shown in them.<br /><br />Unintentional humor -- 4 -- There are a few good laughs with the kids trying to act scary, but all in all, it's just bad, not funny bad.<br /><br />Overall -- 4 -- It's not unwatchable. There are a few fun moments, and enough nudity to keep your attention for the entire movie. However, only watch this movie if you're a big fan of the 80's slasher flicks. This definitely falls on the lower end of the scale, but it's not all the way at the bottom. The real downside is the disappointing ending. It almost ruined the movie for me.",0
"Northanger Abbey is not my favorite Jane Austen novel, but it has its charms. This movie doesn't. It has some of the same character names as the book, but the story is drastically altered, and the sweetest man in the whole Austen canon (unless Emma's Mr. Knightley gets pride of place) is made out to be a heartless and mercenary creep. One or two totally extraneous characters are introduced, and a palpable air of corseted perversion hangs over it all. I was so disappointed when I first saw it on its release in 1986; even today it ranks high on the list of films that disgrace the books on which they're based. Even Robert Hardy fans should give this one a wide berth. It has nothing, and I mean N-O-T-H-I-N-G, to recommend it.",0
"""May contain spoilers"" Sadly Lou Costellos' last film has the distinction of being slightly better than Abbott & Costello's last movie together ""Dance With Me Henry"". This movie isn't all in all outright terrible it is an amusing career misfire. Dorothy Provine is nice to look at and makes the movie somewhat bearable. You can't blame Lou Costello for this because a major studio released it which meant somebody had to give it the ""green"" light. In my opinion Lou Costello was getting over problems of his own losing his son a few years earlier and the unwarranted attacks from the IRS. If you look at the last 3-4 Abbott & Costello movies you can notice the magic was gone. Check out ""Dance With Me Henry"" now that's a painful movie to watch.",0
"The filmmakers were clearly on drugs. That's the only explanation I have. How else do you explain this travesty of a Jane Austen adaptation? Northanger Abbey is a parody of a Gothic novel. But this film was made as if it WERE a Gothic novel. The bizarre music and dream sequences to me suggest drug-induced hallucinations rather than a naive, innocent girl with an overactive imagination, as Catherine of the novel is...<br /><br />The actress who played Catherine just stands around bug-eyed all the time. Peter Firth looks at least 10 years too old to play Henry and he actually seemed a bit on the gay side to me. I don't see the attraction between him and Catherine. John Thorpe's portrayal was rather odd but Isabella actually wasn't that bad. But nothing could save this PIECE OF CRAP movie! One more thing- This film invents a character not in the book, a French friend of General Tilney's, ""The Marchioness."" Why exactly they added her is beyond me. Must have been the drugs. She is scary-looking beyond belief, with white foundation, red lips and black lines randomly painted on her face (dimples?).<br /><br />You'd think this would at least be entertaining in a ""so bad it's good"" quality but unfortunately, it's not. It's just BAD.",0
"This is a pale imitation of 'Officer and a Gentleman.' There is NO chemistry between Kutcher and the unknown woman who plays his love interest. The dialog is wooden, the situations hackneyed. It's too long and the climax is anti-climactic(!). I love the USCG, its men and women are fearless and tough. The action scenes are awesome, but this movie doesn't do much for recruiting, I fear. The script is formulaic, but confusing. Kutcher's character is trying to redeem himself for an accident that wasn't his fault? Costner's is raging against the dying of the light, but why? His 'conflict' with his wife is about as deep as a mud puddle. I saw this sneak preview for free and certainly felt I got my money's worth.",0
